price,meter,surface
1860000.0,31578.947368421097,58.0
5800000.0,58546.98604896025,96.0
3200000.0,42696.6292134831,79.0
6300000.0,64347.826086956506,93.0
6800000.0,67346.93877551019,103.0
2350000.0,41509.4339622641,54.0
9000000.0,83916.0839160839,113.0
3480000.0,50000.0,71.0
3150000.0,50756.146369353955,65.0
3080000.0,50803.53685297535,65.0
3000000.0,48148.148148148095,67.0
4350000.0,51860.465116279105,82.0
3050000.0,58823.5294117647,53.0
2690000.0,56206.6996574039,50.0
2550000.0,44000.0,60.0
850000.0,16666.6666666667,48.0
3500000.0,54069.767441860495,68.0
13800000.0,85232.0675105485,162.0
3800000.0,41646.32019532615,86.0
,,
9500000.0,80487.56798756799,125.0
8900000.0,74482.7586206897,123.0
8300000.0,76470.5882352941,127.0
3700000.0,72500.0,52.0
3680000.0,72368.4210526316,51.0
6500000.0,75700.9345794393,95.0
7500000.0,68604.6511627907,104.0
840000.0,14166.666666666699,62.0
4500000.0,54587.33974358975,80.0
6200000.0,65040.6504065041,92.0
3200000.0,50806.451612903205,65.0
3400000.0,54624.4319700615,66.0
4575000.0,78404.87546369899,70.0
900000.0,16071.428571428602,59.0
15000000.0,101450.494008829,161.0
15000000.0,101450.494008829,161.0
3300000.0,58585.8585858586,57.0
24500000.0,131720.430107527,186.0
6450000.0,77450.98039215691,86.0
,,
7000000.0,67883.53863381859,105.0
6680000.0,69026.5486725664,92.0
4400000.0,65686.2745098039,60.0
,,
2980000.0,53750.0,55.0
8500000.0,86206.8965517241,96.0
4165000.0,43223.41638169675,94.0
8000000.0,83333.3333333333,95.0
12400000.0,92561.98347107439,144.0
3900000.0,56909.8143236074,68.5
8000000.0,93877.55102040821,96.0
8000000.0,93877.55102040821,96.0
3880000.0,60000.0,63.0
750000.0,11000.0,72.0
3800000.0,41212.1212121212,90.0
3950000.0,33268.22916666665,120.0
10500000.0,100000.0,113.0
14100000.0,93750.0,153.0
5500000.0,57894.7368421053,95.0
3480000.0,61818.181818181794,58.0
4500000.0,62400.0,70.0
2595000.0,29558.823529411802,84.5
7400000.0,75140.44943820225,97.0
610000.0,23333.3333333333,30.0
9900000.0,82417.58241758241,120.0
3600000.0,48936.170212765996,73.0
700000.0,9750.0,75.0
3050000.0,43024.36368585815,73.0
3500000.0,52238.8059701493,69.0
3500000.0,51408.4507042254,69.0
2990000.0,49473.6842105263,61.0
5000000.0,58695.652173913,89.0
5000000.0,58695.652173913,89.0
3400000.0,58974.358974359006,60.0
3600000.0,57413.38112305855,67.0
4280000.0,52428.5714285714,80.0
3400000.0,49253.0657748049,69.5
3325000.0,50000.0,69.0
3280000.0,49319.6964087375,69.0
4350000.0,58995.376208491,80.0
850000.0,14761.9047619048,62.0
1750000.0,19096.01634320735,88.0
930000.0,15787.5,59.0
3225000.0,63018.341307815004,52.0
5000000.0,76785.71428571429,63.0
3290000.0,36986.301369862995,88.0
17000000.0,107382.55033557,177.0
4000000.0,59701.492537313396,70.0
5500000.0,75000.0,82.0
2600000.0,48214.2857142857,54.0
4250000.0,61129.0322580645,72.0
5500000.0,55331.33019327595,95.0
4840000.0,48705.741626794246,94.0
6540000.0,77222.2222222222,91.0
6000000.0,75987.012987013,90.0
6000000.0,77419.3548387097,82.0
3150000.0,58108.1081081081,53.0
5600000.0,72916.6666666667,83.0
9500000.0,97368.4210526316,96.0
9800000.0,90740.7407407407,109.0
4500000.0,74285.71428571429,74.0
6500000.0,71875.0,86.0
6200000.0,70725.9450171821,80.0
7000000.0,75000.0,91.0
8300000.0,85443.0379746835,101.0
11500000.0,45066.6666666667,205.0
4400000.0,58863.6363636364,77.0
8000000.0,85051.54639175259,96.0
16000000.0,111538.461538462,150.0
4150000.0,43689.3203883495,91.0
4400000.0,43956.043956044,100.0
2300000.0,57446.8085106383,40.0
5590000.0,62109.9807117734,91.0
3150000.0,53000.0,60.0
6650000.0,68208.0924855491,99.0
5200000.0,68367.3469387755,88.0
3200000.0,70312.5,47.0
6700000.0,61224.4897959184,109.5
4100000.0,63235.2941176471,70.0
2900000.0,51500.0,58.0
5195000.0,53888.8888888889,92.0
3300000.0,49590.16393442625,78.5
2300000.0,31818.1818181818,78.0
5575000.0,74242.4242424242,83.0
750000.0,12812.5,60.0
3125000.0,56458.33333333335,55.0
3600000.0,65147.18614718615,57.0
4000000.0,69672.13114754099,55.0
6090000.0,72391.10707803996,90.0
12800000.0,42016.8067226891,278.0
3700000.0,44210.5263157895,80.5
2400000.0,38897.56944444445,62.5
1170000.0,20266.66666666665,53.5
3500000.0,58730.1587301587,64.0
980000.0,17894.7368421053,60.0
3600000.0,64854.307432432455,57.0
660000.0,18064.5161290323,35.0
4275000.0,31603.0534351145,135.5
18800000.0,124342.10526315801,153.0
750000.0,11940.2985074627,65.0
,,
5000000.0,60226.864906434246,85.0
5000000.0,58720.930232558094,85.0
5800000.0,60439.5604395604,94.0
6200000.0,62365.5913978495,104.0
3600000.0,38709.6774193548,93.0
3300000.0,52316.636851520554,62.0
5925000.0,65306.1224489796,90.0
3720000.0,70588.2352941177,55.0
4500000.0,69481.4814814815,70.0
4380000.0,65160.027238678944,74.0
3900000.0,66250.0,59.0
5200000.0,74418.60465116281,72.0
3755000.0,42574.257425742595,89.0
1150000.0,22682.727643936298,58.0
2300000.0,26136.3636363636,68.0
4050000.0,49259.8069738481,81.0
2400000.0,41228.070175438595,58.0
4350000.0,67647.0588235294,71.0
15440000.0,109215.01706484599,154.0
710000.0,11764.7058823529,55.0
1875000.0,24191.1764705882,81.0
2950000.0,59677.419354838705,50.0
5000000.0,73170.7317073171,71.0
5300000.0,59595.9595959596,88.0
5300000.0,59595.9595959596,88.0
2250000.0,41602.6625704045,51.0
6000000.0,74418.60465116281,88.0
2350000.0,35294.117647058796,69.0
900000.0,16071.428571428602,59.0
3100000.0,46478.5373608903,74.0
3850000.0,39087.3015873016,93.0
5600000.0,58979.5918367347,95.0
,,
4780000.0,55882.352941176505,85.0
2000000.0,31612.903225806498,67.0
3300000.0,57195.1219512195,57.0
9900000.0,81818.1818181818,128.0
5600000.0,72687.617260788,79.0
3200000.0,58771.9298245614,55.0
3165000.0,57719.39328277355,55.0
5100000.0,68208.55614973266,80.0
5100000.0,68208.55614973266,80.0
3600000.0,64250.0,57.0
3950000.0,74074.0740740741,53.0
2700000.0,55208.3333333333,50.0
2300000.0,31944.444444444398,71.0
7600000.0,75000.0,101.0
8500000.0,77045.4545454545,105.0
9900000.0,87080.7254052319,119.0
4300000.0,39795.9183673469,109.0
16400000.0,105769.230769231,160.0
10000000.0,103478.260869565,98.0
4500000.0,64516.1290322581,79.0
550000.0,8972.16117216117,68.0
11400000.0,41353.383458646604,255.0
2600000.0,55952.380952381,50.0
9900000.0,76923.07692307691,129.0
16000000.0,105504.587155963,152.0
5200000.0,68681.3186813187,81.0
4300000.0,67669.1729323308,68.0
9975000.0,95238.0952380952,111.0
3300000.0,57619.0476190476,57.0
3300000.0,57872.340425531904,56.0
1350000.0,29660.08771929825,48.5
15300000.0,118677.3255813955,156.0
2950000.0,33333.3333333333,86.0
1050000.0,10949.74804031355,99.5
5800000.0,63513.5135135135,83.0
2800000.0,30952.380952381,90.0
2850000.0,46666.6666666667,62.0
2400000.0,58151.40009492165,41.0
700000.0,10833.3333333333,65.0
15650000.0,116129.032258065,154.0
3750000.0,62500.0,58.0
8000000.0,92991.07142857145,86.0
11300000.0,99173.5537190083,121.0
2300000.0,50000.0,45.0
2200000.0,28378.3783783784,80.0
3100000.0,58974.358974359006,53.0
8000000.0,92991.07142857145,86.0
11300000.0,99173.5537190083,121.0
2300000.0,50000.0,45.0
2200000.0,28378.3783783784,80.0
3100000.0,58974.358974359006,53.0
5400000.0,59340.659340659295,89.0
680000.0,8351.64835164835,79.0
3350000.0,64423.07692307691,53.0
3200000.0,64000.0,50.0
3600000.0,64102.5641025641,57.0
3200000.0,58823.5294117647,54.0
3650000.0,64485.9813084112,59.0
17300000.0,104575.16339869301,168.0
2650000.0,32467.5324675325,80.0
2300000.0,31081.081081081098,74.0
5000000.0,59183.6734693878,83.0
3400000.0,56000.0,62.0
6690000.0,63492.0634920635,101.0
9000000.0,42056.0747663551,204.0
11000000.0,86956.5217391304,126.5
5600000.0,65671.6417910448,94.0
2000000.0,22727.2727272727,91.0
2150000.0,32441.8604651163,70.0
2880000.0,30232.558139534904,91.0
5800000.0,63224.5169886742,90.0
695000.0,14348.739495798349,49.5
3990000.0,56017.24137931035,74.0
5300000.0,59015.151515151505,89.0
3580000.0,53544.3037974684,66.0
870000.0,28064.5161290323,31.5
2000000.0,30379.746835443,68.0
2680000.0,56711.711711711745,51.0
4000000.0,45283.018867924504,89.0
3400000.0,61628.60576923075,55.0
10800000.0,83809.5238095238,130.0
1350000.0,13775.5102040816,86.0
6250000.0,66355.1401869159,92.0
5000000.0,64000.0,72.0
8200000.0,93877.55102040821,92.0
1500000.0,32129.0322580645,46.0
1500000.0,32129.0322580645,46.0
8900000.0,82978.7234042553,100.0
3300000.0,55172.4137931034,67.0
8500000.0,82894.7368421053,99.0
7100000.0,71428.57142857139,95.0
8450000.0,74285.71428571429,112.0
5235000.0,66336.6336633663,89.0
4800000.0,68750.0,80.0
2200000.0,28879.310344827598,75.0
2825000.0,34444.4444444444,87.0
3180000.0,57777.7777777778,58.0
,,
2100000.0,31343.2835820896,69.0
3540000.0,53191.4893617021,68.0
7800000.0,90909.0909090909,89.0
3500000.0,60975.6097560976,55.0
,,
6700000.0,69416.0997732426,99.0
3575000.0,51668.5205784205,70.0
4150000.0,61184.2105263158,68.0
3000000.0,40000.0,73.0
3500000.0,36046.511627907,93.0
2700000.0,41732.209737827754,69.5
5800000.0,68888.88888888889,84.0
1900000.0,24875.0,80.0
3400000.0,63235.2941176471,56.0
5600000.0,79166.6666666667,80.0
4150000.0,53760.0,75.0
3710000.0,55343.822843822854,69.5
3300000.0,53521.1267605634,63.0
3300000.0,53333.3333333333,63.0
4400000.0,58510.638297872305,72.0
2850000.0,47252.7472527472,65.0
2600000.0,46739.1304347826,61.5
4600000.0,56250.0,81.0
3850000.0,70458.31892078865,55.0
2875000.0,50975.948196114696,55.5
,,
6480000.0,67605.6338028169,90.0
4300000.0,59000.0,75.0
2800000.0,39024.3902439024,75.0
4350000.0,60176.9911504425,75.0
2600000.0,45370.3703703704,57.0
3500000.0,54782.6086956522,83.0
2925000.0,46612.903225806454,67.0
2925000.0,46612.903225806454,67.0
3600000.0,40273.64987314245,89.0
4735000.0,50568.181818181794,91.5
2850000.0,46693.98907103825,62.0
3100000.0,50000.0,64.5
7500000.0,79444.44444444441,102.0
2500000.0,44074.0740740741,55.0
,,
3360000.0,58730.1587301587,59.0
4000000.0,39516.1290322581,91.0
9200000.0,81168.8311688312,110.0
8750000.0,81632.6530612245,102.0
3500000.0,70000.0,52.0
2400000.0,38217.5480769231,64.0
3320000.0,45061.7283950617,81.0
,,
3800000.0,44943.8202247191,82.0
4285000.0,40663.1716906946,109.0
1450000.0,31142.857142857152,48.0
1980000.0,33301.28205128205,62.0
9000000.0,84124.66246624665,120.5
10200000.0,81818.1818181818,130.0
12400000.0,93399.50209643604,146.0
2750000.0,46835.4430379747,65.0
3000000.0,53061.224489795895,61.0
3900000.0,60465.11627906981,68.0
4300000.0,61952.38095238095,74.0
4300000.0,59124.087591240896,75.0
9200000.0,86936.20479479886,105.0
9800000.0,87962.962962963,112.0
6600000.0,81818.1818181818,90.0
1700000.0,27384.6153846154,64.0
3900000.0,40833.3333333333,100.5
7500000.0,70569.1056910569,106.0
9025000.0,97885.64621798691,100.0
1430000.0,21014.4927536232,77.0
2755000.0,33632.341110217196,87.0
2940000.0,33846.1538461538,83.0
1650000.0,17281.553398058302,94.0
2050000.0,35964.9122807018,55.0
2050000.0,35897.4358974359,54.0
7375000.0,61151.0791366906,125.0
3400000.0,50689.68797564685,65.0
980000.0,16341.4634146341,60.0
3000000.0,57627.1186440678,53.0
5025000.0,56250.0,96.0
550000.0,8705.882352941178,68.0
3300000.0,50612.2448979592,66.0
3500000.0,54807.692307692305,66.0
3550000.0,53289.4736842105,60.0
3440000.0,58265.02732240435,60.0
5000000.0,55670.103092783495,92.0
4625000.0,53540.1002506266,82.0
5600000.0,57777.7777777778,95.0
6000000.0,81250.0,73.0
,,
4000000.0,54310.3448275862,76.0
3230000.0,47058.8235294118,69.0
4700000.0,60909.0909090909,74.0
3860000.0,53930.20594965675,70.0
3550000.0,66279.0697674419,58.0
4100000.0,64196.428571428594,65.5
6475000.0,62331.081081081094,101.0
3420000.0,65957.44680851059,54.0
,,
4220000.0,54054.054054054104,81.0
2335000.0,40616.352201257905,57.0
4000000.0,68181.8181818182,59.0
10300000.0,74204.9469964664,122.0
,,
5650000.0,70857.1428571429,78.5
7600000.0,88235.2941176471,96.0
4300000.0,67500.0,74.0
4800000.0,68153.4090909091,81.0
6600000.0,57894.7368421053,118.0
6100000.0,67763.15789473685,89.0
7250000.0,72115.3846153846,98.0
5000000.0,62500.0,83.0
6800000.0,74358.9743589744,94.0
3500000.0,65625.0,58.0
8700000.0,75000.0,120.0
4450000.0,59259.2592592593,74.0
3650000.0,64885.4961832061,60.0
8800000.0,75892.8571428571,112.0
23700000.0,132978.723404255,182.0
1950000.0,32758.6206896552,59.0
8500000.0,79093.4771443246,97.0
3700000.0,51713.1327953045,71.0
2850000.0,47058.8235294118,58.0
2750000.0,45454.5454545455,65.0
1020000.0,18732.142857142848,60.0
1180000.0,22452.8301886792,55.0
1050000.0,14583.333333333301,72.0
,,
4000000.0,68041.2371134021,56.0
5225000.0,63928.5714285714,80.0
4740000.0,55469.208211143705,91.0
1900000.0,27678.571428571402,72.0
3800000.0,63492.0634920635,62.0
5000000.0,39772.7272727273,125.0
,,
3700000.0,64788.7323943662,62.0
2800000.0,50000.0,60.0
2800000.0,50000.0,60.0
3000000.0,52083.3333333333,59.0
9000000.0,78494.62365591401,112.0
680000.0,13333.333333333301,66.5
4200000.0,62814.2677561282,72.5
7300000.0,78726.85185185185,88.0
,,
14000000.0,107382.55033557,135.0
2700000.0,42857.1428571429,64.0
6300000.0,67678.79692343014,86.0
3200000.0,45614.0350877193,74.0
9990000.0,89119.170984456,119.0
3000000.0,43678.1609195402,80.0
6500000.0,58434.9593495935,115.0
5600000.0,74000.0,90.0
1850000.0,29000.0,68.0
5850000.0,61702.1276595745,91.0
3125000.0,44618.72586872585,74.0
,,
4180000.0,50000.0,83.0
3160000.0,45283.018867924504,74.0
2400000.0,25490.1960784314,89.0
3690000.0,69851.89693649829,53.0
2300000.0,30735.2941176471,67.0
5780000.0,46721.311475409806,127.0
7700000.0,83870.9677419355,98.0
7700000.0,83870.9677419355,98.0
3000000.0,39655.1724137931,77.0
6900000.0,87500.0,77.0
2600000.0,58181.818181818206,45.0
4300000.0,62121.2121212121,67.0
11500000.0,93617.0212765957,130.0
20000000.0,88235.2941176471,235.5
7800000.0,76043.47826086955,100.0
14200000.0,91503.26797385619,158.0
2300000.0,33116.21779859485,67.0
4950000.0,57142.8571428571,87.0
3500000.0,71568.6274509804,51.0
3200000.0,70588.2352941177,47.0
4500000.0,63636.3636363636,75.0
8500000.0,75257.7319587629,131.0
5880000.0,76162.7906976744,85.0
7800000.0,70312.5,108.0
1550000.0,20652.1739130435,77.0
910000.0,21428.5714285714,66.0
1700000.0,38571.4285714286,47.0
9300000.0,79508.1967213115,117.0
5150000.0,61143.7908496732,90.0
3750000.0,37500.0,99.0
3500000.0,55966.10169491525,63.0
4500000.0,58333.3333333333,76.0
4250000.0,44137.931034482805,89.0
